Issue #,OriginationPhase,DetectionPhase,Category,Priority,Status,Created_at,Closed_at,Author
370,Design,Coding,Inquiry,High,inProgress,12/20/2017,,Derek
371,Requirements,Testing,Bug,High,Completed,3/17/2017,3/25/2017,Lindsey
372,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Joseph
373,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
374,Design,Coding,Inquiry,High,inProgress,3/1/2017,,John
375,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Victoria
376,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Lindsey
377,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
378,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Catherine
379,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Roy
380,Requirements,Coding,Bug,Critical,inProgress,3/7/2017,,Michelle
381,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Roy
382,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,John
383,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
384,Design,Testing,Enhancement,High,Approved,3/11/2017,,Joseph
385,Requirements,Design,Inquiry,Low,Rejected,3/12/2017,3/13/2017,Smith
386,Testing,Field,Bug,Medium,Completed,2/13/2017,3/7/2017,Kim
387,Documentation,Field,Enhancement,Major,pendingReview,2/14/2017,,Sandy
388,Design,Testing,Bug,Critical,Approved,2/15/2017,,David
389,Requirements,Coding,Bug,High,inProgress,2/16/2017,,Adam
390,Requirements,Design,Inquiry,Low,Rejected,2/17/2017,3/11/2017,Smith
391,Testing,Field,Bug,Medium,Completed,2/18/2017,3/12/2017,Joseph
392,Documentation,Field,Enhancement,Major,pendingReview,2/19/2017,,Roy
393,Design,Coding,Inquiry,Low,inProgress,2/20/2017,,John
394,Testing,Field,Bug,Medium,Completed,2/21/2017,3/15/2017,Michelle
395,Documentation,Field,Enhancement,Major,pendingReview,2/22/2017,,Roy
396,Design,Coding,Inquiry,High,inProgress,2/23/2017,,John
397,Coding,Testing,Bug,Low,Completed,2/24/2017,3/18/2017,Linda
398,Design,Coding,Inquiry,High,inProgress,2/25/2017,,Kyle
399,Coding,Testing,Bug,Low,Completed,3/4/2017,3/20/2017,David
400,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/21/2017,Catherine
401,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Roy
402,Testing,Field,Bug,Medium,Completed,2/27/2017,,Allison
403,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
404,Design,Coding,Inquiry,High,inProgress,8/8/2017,,John
405,Coding,Testing,Bug,Low,Completed,8/9/2017,8/26/2017,Linda
406,Design,Coding,Inquiry,High,inProgress,8/10/2017,,Joseph
407,Coding,Testing,Bug,Low,Completed,8/11/2017,8/28/2017,David
408,Testing,Field,Enhancement,Medium,Completed,8/12/2017,8/29/2017,Catherine
409,Design,Testing,Inquiry,Critical,Approved,8/13/2017,,Daniel
410,Coding,Testing,Bug,Low,Completed,8/14/2017,8/31/2017,David
411,Testing,Field,Enhancement,Medium,Completed,8/15/2017,9/1/2017,Catherine
412,Design,Testing,Enhancement,Critical,Completed,8/16/2017,9/2/2017,Smith
413,Requirements,Coding,Enhancement,High,Completed,8/17/2017,9/3/2017,Joseph
414,Requirements,Design,Enhancement,Low,Rejected,8/18/2017,9/4/2017,Roy
415,Testing,Field,Enhancement,Medium,Rejected,8/19/2017,9/5/2017,Dan
416,Documentation,Field,Inquiry,Major,Rejected,8/20/2017,9/6/2017,Jessica
417,Design,Testing,Enhancement,High,Rejected,8/21/2017,9/7/2017,Stephanie
418,Requirements,Design,Inquiry,Low,Rejected,8/22/2017,9/8/2017,Smith
419,Testing,Field,Bug,Medium,Completed,8/23/2017,9/9/2017,Tara
420,Documentation,Field,Enhancement,Major,Completed,8/24/2017,9/10/2017,Linda
421,Design,Testing,Inquiry,Critical,Completed,8/25/2017,9/11/2017,Frank
422,Design,Coding,Inquiry,High,Completed,8/26/2017,9/12/2017,John
423,Requirements,Testing,Bug,High,Completed,8/27/2017,9/13/2017,Lindsey
424,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Joseph
425,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
426,Design,Coding,Inquiry,High,inProgress,3/1/2017,,Anthony
427,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Linda
428,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Kathleen
429,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
430,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Catherine
431,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Robert
432,Requirements,Coding,Bug,Critical,inProgress,2/6/2017,,Bridget
433,Requirements,Design,Inquiry,Low,Rejected,10/7/2017,10/19/2017,Richard
434,Testing,Field,Bug,Medium,Completed,10/8/2017,10/20/2017,Chris
435,Documentation,Field,Inquiry,Major,pendingReview,10/9/2017,,Jessica
436,Design,Testing,Enhancement,High,Approved,10/10/2017,10/22/2017,Carina
437,Requirements,Design,Inquiry,Low,Rejected,10/11/2017,10/23/2017,Smith
438,Testing,Field,Bug,Medium,Completed,10/12/2017,10/24/2017,Laurie
439,Documentation,Field,Enhancement,Medium,pendingReview,10/13/2017,,Sandy
440,Design,Testing,Bug,Medium,Approved,10/14/2017,10/26/2017,Jacob
441,Requirements,Coding,Bug,Medium,inProgress,10/15/2017,,Kelly
442,Requirements,Design,Inquiry,Medium,Rejected,10/16/2017,10/28/2017,Smith
443,Testing,Field,Bug,Medium,Completed,10/17/2017,10/29/2017,Nicole
444,Documentation,Field,Enhancement,Major,pendingReview,2/18/2017,,Michael
445,Design,Coding,Inquiry,Low,inProgress,1/11/2017,,Andrew
446,Testing,Field,Bug,Medium,Completed,1/12/2017,2/15/2017,Emily
447,Documentation,Field,Enhancement,Major,pendingReview,1/13/2017,,Roger
448,Design,Coding,Inquiry,High,inProgress,1/14/2017,,Justin
449,Coding,Testing,Bug,Low,Completed,1/15/2017,2/18/2017,Robert
450,Design,Coding,Inquiry,High,inProgress,1/16/2017,,Lindsey
451,Coding,Testing,Bug,Low,Completed,1/17/2017,,David
452,Testing,Field,Enhancement,Medium,Completed,1/18/2017,3/21/2017,Catherine
453,Design,Testing,Inquiry,Critical,Approved,1/19/2017,,Kevin
454,Testing,Field,Bug,Medium,Completed,1/20/2017,3/23/2017,Michelle
455,Documentation,Field,Enhancement,Major,pendingReview,1/21/2017,,Robert
456,Design,Coding,Inquiry,High,inProgress,1/22/2017,,Dennis
457,Coding,Testing,Bug,Low,Completed,12/2/2017,12/16/2017,William
458,Design,Coding,Inquiry,High,Completed,12/3/2017,12/17/2017,Joseph
459,Testing,Field,Bug,Medium,Completed,12/4/2017,12/18/2017,Joseph
460,Documentation,Field,Enhancement,Major,Completed,12/5/2017,12/19/2017,Roy
461,Design,Coding,Inquiry,Low,Completed,12/6/2017,12/20/2017,Zachary
462,Testing,Field,Bug,Medium,Completed,12/7/2017,12/21/2017,Tamara
463,Documentation,Field,Enhancement,Major,Completed,12/8/2017,12/22/2017,Eric
464,Design,Coding,Inquiry,High,Completed,12/9/2017,12/23/2017,John
465,Coding,Testing,Bug,Low,Completed,12/10/2017,12/24/2017,Robert
466,Design,Coding,Inquiry,High,Completed,12/11/2017,12/25/2017,Lindsey
467,Coding,Testing,Bug,Low,Completed,12/12/2017,12/26/2017,David
468,Testing,Field,Enhancement,Medium,Completed,12/13/2017,12/27/2017,Catherinee
469,Design,Testing,Inquiry,Critical,Approved,1/19/2017,,Ryan
470,Testing,Field,Bug,Medium,Completed,1/20/2017,3/23/2017,Michelle
471,Documentation,Field,Enhancement,Major,pendingReview,1/21/2017,,Robert
472,Design,Coding,Inquiry,High,inProgress,1/22/2017,,Christopher
473,Coding,Testing,Bug,Low,Completed,8/2/2017,8/26/2017,William
474,Design,Coding,Inquiry,High,inProgress,8/3/2017,,Joseph
475,Testing,Field,Bug,Medium,Completed,8/4/2017,8/28/2017,Michelle
476,Documentation,Field,Enhancement,Major,pendingReview,8/5/2017,,Brent
477,Design,Coding,Inquiry,High,inProgress,8/6/2017,,Orlando
478,Design,Coding,Inquiry,High,inProgress,8/7/2017,,Lindsey
479,Coding,Testing,Bug,Low,Completed,8/8/2017,9/1/2017,David
480,Testing,Field,Enhancement,Medium,Completed,8/9/2017,9/2/2017,Catherinee
481,Design,Testing,Inquiry,Critical,Approved,8/10/2017,,Smith
482,Requirements,Coding,Bug,High,inProgress,8/11/2017,,Joseph
483,Design,Testing,Bug,High,Approved,8/12/2017,,Christopher
484,Requirements,Design,Bug,Low,Rejected,8/13/2017,9/6/2017,Smith
485,Testing,Field,Bug,Medium,Rejected,8/14/2017,9/7/2017,Kim
486,Documentation,Field,Bug,Major,Rejected,8/15/2017,9/8/2017,Linda
487,Design,Testing,Bug,Critical,Completed,8/16/2017,9/9/2017,David
488,Requirements,Coding,Bug,High,Rejected,8/17/2017,9/10/2017,Alexander
489,Testing,Field,Bug,Medium,Rejected,8/18/2017,9/11/2017,James
490,Documentation,Field,Enhancement,Major,Rejected,8/19/2017,9/12/2017,Alyssa
491,Design,Coding,Inquiry,High,Rejected,8/20/2017,9/13/2017,John
492,Requirements,Testing,Bug,High,Rejected,8/21/2017,9/14/2017,Lindsey
493,Testing,Field,Bug,Medium,Completed,8/22/2017,9/15/2017,Joseph
494,Documentation,Field,Enhancement,Major,Completed,8/23/2017,9/16/2017,Roy
495,Design,Coding,Inquiry,High,Completed,8/24/2017,9/17/2017,John
496,Coding,Testing,Bug,Low,Rejected,8/25/2017,9/18/2017,Linda
497,Design,Coding,Inquiry,High,Completed,8/26/2017,9/19/2017,Lindsey
498,Coding,Testing,Bug,Low,Completed,8/27/2017,9/20/2017,David
499,Testing,Field,Enhancement,Medium,Completed,8/28/2017,9/21/2017,Catherine
500,Design,Testing,Inquiry,Critical,Completed,8/29/2017,9/22/2017,Roy
501,Testing,Field,Bug,Medium,Completed,8/30/2017,9/23/2017,Rose
502,Documentation,Field,Enhancement,Major,pendingReview,8/31/2017,,Clark
503,Design,Coding,Inquiry,High,inProgress,3/1/2017,,John
504,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Linda
505,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Lindsey
506,Coding,Testing,Bug,Low,Completed,11/4/2017,11/15/2017,David
507,Testing,Field,Enhancement,Medium,Completed,11/5/2017,11/16/2017,Catherine
508,Design,Testing,Inquiry,Critical,Approved,11/6/2017,11/17/2017,Smith
509,Requirements,Coding,Bug,High,inProgress,11/7/2017,,Joseph
510,Requirements,Design,Inquiry,Low,Rejected,11/8/2017,11/19/2017,Leslie
511,Testing,Field,Bug,Medium,Completed,11/9/2017,11/20/2017,John
512,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
513,Design,Testing,Enhancement,High,Approved,3/11/2017,,Christopher
514,Requirements,Design,Inquiry,Low,Rejected,3/12/2017,,Smith
515,Testing,Field,Bug,Medium,Completed,3/13/2017,3/14/2017,Kim
516,Documentation,Field,Enhancement,Major,pendingReview,3/14/2017,,Linda
517,Design,Testing,Inquiry,Critical,Approved,3/15/2017,,David
518,Requirements,Coding,Bug,High,inProgress,3/16/2017,3/24/2017,Alexander
519,Requirements,Design,Inquiry,Low,Rejected,3/17/2017,,Smith
520,Testing,Field,Bug,Medium,Completed,3/18/2017,3/26/2017,James
521,Documentation,Field,Enhancement,Major,pendingReview,3/19/2017,,Alyssa
522,Design,Coding,Inquiry,High,inProgress,11/20/2017,11/28/2017,John
523,Requirements,Testing,Bug,High,Completed,11/21/2017,11/29/2017,Lindsey
524,Testing,Field,Bug,Medium,Completed,11/22/2017,11/30/2017,Joseph
525,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
526,Design,Coding,Inquiry,High,inProgress,11/1/2017,,John
527,Testing,Field,Enhancement,Medium,Completed,11/2/2017,11/8/2017,Catherine
528,Design,Testing,Inquiry,Critical,Approved,11/3/2017,,Roy
529,Requirements,Coding,Bug,Critical,inProgress,11/4/2017,,Michelle
530,Requirements,Design,Inquiry,Low,Rejected,11/5/2017,11/11/2017,Roy
531,Testing,Field,Bug,Medium,Completed,11/6/2017,11/12/2017,John
532,Documentation,Field,Inquiry,Major,pendingReview,11/7/2017,,Jessica
533,Design,Testing,Enhancement,High,Approved,11/8/2017,,Joseph
534,Requirements,Design,Inquiry,Low,Rejected,11/9/2017,11/15/2017,Smith
535,Testing,Field,Bug,Medium,Completed,11/10/2017,11/16/2017,Kim
536,Documentation,Field,Enhancement,Major,pendingReview,11/11/2017,,Sandy
537,Design,Testing,Bug,Critical,Approved,11/12/2017,,David
538,Requirements,Coding,Bug,High,inProgress,11/13/2017,,Michelle
539,Requirements,Design,Inquiry,Low,Rejected,11/17/2017,12/11/2017,Smith
540,Testing,Field,Bug,Medium,Completed,11/18/2017,12/12/2017,Joseph
541,Documentation,Field,Enhancement,Major,pendingReview,11/19/2017,,Roy
542,Design,Coding,Inquiry,Low,inProgress,11/20/2017,,John
543,Testing,Field,Bug,Medium,Completed,11/21/2017,12/15/2017,Michelle
544,Documentation,Field,Enhancement,Major,pendingReview,11/22/2017,,Roy
545,Design,Coding,Inquiry,High,inProgress,11/23/2017,,John
546,Coding,Testing,Bug,Low,Completed,11/24/2017,12/18/2017,Linda
547,Design,Testing,Inquiry,High,inProgress,11/25/2017,,Lindsey
548,Coding,Testing,Bug,Low,Completed,3/4/2017,3/20/2017,David
549,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/21/2017,Catherine
550,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Alyssa
551,Testing,Field,Bug,Medium,Completed,2/27/2017,3/23/2017,Michelle
552,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
553,Design,Coding,Inquiry,High,inProgress,3/1/2017,,John
554,Coding,Testing,Bug,Low,Completed,3/2/2017,3/26/2017,Linda
555,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Joseph
556,Coding,Testing,Bug,Low,Completed,3/4/2017,3/28/2017,David
557,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/29/2017,Catherine
558,Design,Testing,Inquiry,Critical,Approved,3/6/2017,3/30/2017,Roy
559,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
560,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Rose
561,Design,Testing,Inquiry,Critical,Approved,3/6/2017,3/17/2017,Smith
562,Requirements,Coding,Bug,High,inProgress,3/7/2017,,Joseph
563,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Roy
564,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,John
565,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
566,Design,Testing,Enhancement,High,Approved,3/11/2017,3/12/2017,Michelle
567,Requirements,Design,Inquiry,Low,Rejected,3/12/2017,3/13/2017,Smith
568,Testing,Field,Bug,Medium,Completed,10/13/2017,11/4/2017,Kim
569,Documentation,Field,Enhancement,Major,Completed,10/14/2017,11/5/2017,Linda
570,Design,Testing,Inquiry,Critical,Completed,10/15/2017,11/6/2017,David
571,Requirements,Coding,Bug,High,Completed,10/16/2017,11/7/2017,Michelle
572,Requirements,Design,Inquiry,Low,Completed,10/17/2017,11/8/2017,Smith
573,Testing,Field,Bug,Medium,Completed,10/18/2017,11/9/2017,Michelle
574,Documentation,Field,Enhancement,Major,Completed,10/19/2017,11/10/2017,Roy
575,Design,Coding,Inquiry,High,Completed,10/20/2017,11/11/2017,Kristen
576,Requirements,Testing,Bug,High,Completed,10/21/2017,11/12/2017,Lindsey
577,Testing,Field,Bug,Medium,Completed,10/22/2017,11/13/2017,Joseph
578,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Mark
579,Design,Coding,Inquiry,High,inProgress,3/1/2017,,James
580,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Rose
581,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Lindsey
582,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
583,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Kristen
584,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Robert
585,Requirements,Coding,Bug,Critical,inProgress,3/7/2017,,Michelle
586,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Roy
587,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,John
588,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
589,Design,Testing,Enhancement,High,Approved,3/11/2017,,Joseph
590,Requirements,Design,Inquiry,Low,Rejected,3/12/2017,3/13/2017,Smith
591,Testing,Field,Bug,Medium,Completed,2/13/2017,3/7/2017,Kim
592,Documentation,Field,Enhancement,Major,pendingReview,1/5/2017,,Sandy
593,Design,Testing,Bug,Critical,Approved,1/6/2017,,David
594,Requirements,Coding,Bug,High,inProgress,1/7/2017,,Michelle
595,Requirements,Design,Inquiry,Low,Rejected,1/8/2017,4/5/2017,Jeremy
596,Testing,Field,Bug,Medium,Completed,1/9/2017,4/13/2017,Joseph
597,Documentation,Field,Enhancement,Major,pendingReview,1/10/2017,,Roy
598,Design,Coding,Inquiry,Low,inProgress,1/11/2017,,Zachary
599,Testing,Field,Bug,Medium,Completed,1/12/2017,2/15/2017,Tamara
600,Documentation,Field,Enhancement,Major,pendingReview,1/13/2017,,Eric
601,Design,Coding,Inquiry,High,inProgress,1/14/2017,,John
602,Coding,Testing,Bug,Low,Completed,1/15/2017,2/18/2017,Robert
603,Design,Coding,Inquiry,High,inProgress,1/16/2017,,Lindsey
604,Coding,Testing,Bug,Low,Completed,1/17/2017,3/20/2017,David
605,Testing,Field,Enhancement,Medium,Completed,1/18/2017,3/21/2017,Catherinee
606,Design,Testing,Inquiry,Critical,Approved,1/19/2017,,Ryan
607,Testing,Field,Bug,Medium,Completed,1/20/2017,,Michelle
608,Documentation,Field,Enhancement,Major,pendingReview,1/21/2017,,Robert
609,Design,Coding,Inquiry,High,inProgress,1/22/2017,,Christopher
610,Coding,Testing,Bug,Low,Completed,3/2/2017,,William
611,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Joseph
612,Testing,Field,Bug,Medium,Completed,2/27/2017,,Michelle
613,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Brent
614,Design,Coding,Inquiry,High,inProgress,3/1/2017,,Orlando
615,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Linda
616,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Lindsey
617,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
618,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Catherinee
619,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Smith
620,Requirements,Coding,Bug,High,inProgress,3/7/2017,,Joseph
621,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Victor
622,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,Justin
623,Documentation,Field,Inquiry,Major,pendingReview,5/10/2017,,Jessica
624,Design,Testing,Enhancement,High,Approved,5/11/2017,,Michelle
625,Requirements,Design,Inquiry,Low,Rejected,5/12/2017,5/13/2017,Smith
626,Testing,Field,Bug,Medium,Completed,5/13/2017,5/14/2017,Kim
627,Documentation,Field,Enhancement,Major,pendingReview,5/14/2017,,Linda
628,Design,Testing,Inquiry,Critical,Approved,5/15/2017,,David
629,Requirements,Coding,Bug,High,inProgress,5/16/2017,,Michelle
630,Requirements,Design,Inquiry,Low,Rejected,5/17/2017,5/25/2017,Smith
631,Testing,Field,Bug,Medium,Completed,5/18/2017,5/26/2017,Michelle
632,Documentation,Field,Enhancement,Major,pendingReview,5/19/2017,,Roy
633,Design,Coding,Inquiry,High,inProgress,5/20/2017,,Derek
634,Requirements,Testing,Bug,High,Completed,5/21/2017,5/25/2017,Lindsey
635,Testing,Field,Bug,Medium,Completed,5/22/2017,5/26/2017,Joseph
636,Documentation,Field,Enhancement,Major,pendingReview,5/23/2017,,Roy
637,Design,Coding,Inquiry,High,inProgress,5/24/2017,,John
638,Coding,Testing,Bug,Low,Completed,5/25/2017,6/3/2017,Victoria
639,Design,Coding,Inquiry,High,inProgress,5/26/2017,,Lindsey
640,Coding,Testing,Bug,Low,Completed,5/27/2017,6/5/2017,David
641,Testing,Field,Enhancement,Medium,Completed,5/28/2017,6/6/2017,Catherine
642,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Roy
643,Requirements,Coding,Bug,Critical,inProgress,3/7/2017,,Michelle
644,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Roy
645,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,John
646,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
647,Design,Testing,Enhancement,High,Approved,3/11/2017,,Joseph
648,Requirements,Design,Inquiry,Low,Rejected,3/12/2017,3/13/2017,Smith
649,Testing,Field,Bug,Medium,Completed,11/13/2017,11/17/2017,Kim
650,Documentation,Field,Enhancement,Major,pendingReview,11/14/2017,,Sandy
651,Design,Testing,Bug,Critical,Approved,11/15/2017,,David
652,Requirements,Coding,Bug,High,inProgress,11/16/2017,,Adam
653,Requirements,Design,Inquiry,Low,Rejected,11/17/2017,11/21/2017,Smith
654,Testing,Field,Bug,Medium,Completed,11/18/2017,11/22/2017,Joseph
655,Documentation,Field,Enhancement,Major,Completed,11/19/2017,11/23/2017,Roy
656,Design,Coding,Inquiry,Low,Completed,11/20/2017,11/24/2017,John
657,Testing,Field,Inquiry,Medium,Completed,11/21/2017,11/25/2017,Michelle
658,Documentation,Field,Inquiry,Medium,Completed,11/22/2017,11/26/2017,Roy
659,Design,Coding,Inquiry,Medium,Completed,11/23/2017,11/27/2017,John
660,Coding,Testing,Inquiry,Medium,Completed,11/24/2017,11/28/2017,Linda
661,Design,Coding,Inquiry,Medium,inProgress,11/25/2017,,Kyle
662,Testing,Field,Enhancement,Medium,Completed,11/26/2017,11/30/2017,Catherine
663,Design,Testing,Inquiry,Critical,Completed,11/27/2017,12/1/2017,Roy
664,Testing,Field,Bug,Medium,Completed,11/28/2017,12/2/2017,Allison
665,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
666,Design,Coding,Inquiry,High,inProgress,7/1/2017,,John
667,Coding,Testing,Bug,Low,Completed,7/2/2017,7/26/2017,Linda
668,Design,Coding,Inquiry,High,inProgress,7/3/2017,,Joseph
669,Coding,Testing,Bug,Low,Completed,7/4/2017,7/28/2017,David
670,Testing,Field,Enhancement,Medium,Completed,7/5/2017,7/29/2017,Catherine
671,Design,Testing,Inquiry,Critical,Approved,7/6/2017,7/30/2017,Daniel
672,Coding,Testing,Bug,Low,Completed,7/7/2017,7/31/2017,David
673,Testing,Field,Enhancement,Medium,Completed,7/8/2017,8/1/2017,Catherine
674,Design,Testing,Inquiry,Critical,Approved,7/9/2017,8/2/2017,Smith
675,Requirements,Coding,Bug,High,inProgress,7/10/2017,,Joseph
676,Requirements,Design,Inquiry,Low,Rejected,7/11/2017,8/4/2017,Roy
677,Testing,Field,Bug,Medium,Completed,7/12/2017,8/5/2017,Dan
678,Documentation,Field,Inquiry,Major,pendingReview,7/13/2017,,Jessica
679,Design,Testing,Enhancement,High,Approved,7/14/2017,8/7/2017,Stephanie
680,Requirements,Design,Inquiry,Low,Rejected,7/15/2017,8/8/2017,Smith
681,Testing,Field,Bug,Medium,Completed,7/16/2017,8/9/2017,Tara
682,Documentation,Field,Enhancement,Major,pendingReview,7/17/2017,,Linda
683,Design,Testing,Inquiry,Critical,Approved,7/18/2017,8/11/2017,Frank
684,Requirements,Coding,Bug,High,inProgress,7/19/2017,,Michelle
685,Requirements,Design,Inquiry,Low,Rejected,7/20/2017,8/13/2017,Smith
686,Testing,Field,Bug,Medium,Completed,7/21/2017,8/14/2017,Leslie
687,Documentation,Field,Enhancement,Major,pendingReview,7/22/2017,,Jeffery
688,Design,Coding,Inquiry,High,inProgress,7/23/2017,,John
689,Requirements,Testing,Bug,High,Completed,7/24/2017,8/17/2017,Lindsey
690,Testing,Field,Bug,Medium,Completed,7/25/2017,8/18/2017,Joseph
691,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
692,Design,Coding,Inquiry,High,inProgress,3/1/2017,,Anthony
693,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Linda
694,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Kathleen
695,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
696,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Catherine
697,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Robert
698,Requirements,Coding,Bug,Critical,inProgress,2/6/2017,,Bridget
699,Requirements,Design,Inquiry,Low,Rejected,2/7/2017,3/19/2017,Richard
700,Testing,Field,Bug,Medium,Completed,2/8/2017,3/10/2017,Chris
701,Documentation,Field,Inquiry,Major,pendingReview,2/9/2017,,Jessica
702,Design,Testing,Enhancement,High,Approved,2/10/2017,,Carina
703,Requirements,Design,Inquiry,Low,Rejected,2/11/2017,3/13/2017,Smith
704,Testing,Field,Bug,Medium,Completed,2/12/2017,3/7/2017,Laurie
705,Documentation,Field,Enhancement,Major,pendingReview,2/13/2017,,Sandy
706,Design,Testing,Bug,Critical,Approved,2/14/2017,,Jacob
707,Requirements,Coding,Bug,High,inProgress,2/15/2017,,Kelly
708,Requirements,Design,Inquiry,Low,Rejected,2/16/2017,4/6/2017,Smith
709,Testing,Field,Bug,Medium,Completed,2/17/2017,4/14/2017,Nicole
710,Documentation,Field,Enhancement,Major,pendingReview,2/18/2017,,Michael
711,Design,Coding,Inquiry,Low,inProgress,1/11/2017,,Andrew
712,Testing,Field,Bug,Medium,Completed,1/12/2017,2/15/2017,Emily
713,Documentation,Field,Enhancement,Major,pendingReview,1/13/2017,,Roger
714,Design,Coding,Inquiry,High,inProgress,1/14/2017,,Justin
715,Coding,Testing,Bug,Low,Completed,1/15/2017,2/18/2017,Robert
716,Design,Coding,Inquiry,High,inProgress,1/16/2017,,Lindsey
717,Coding,Testing,Bug,Low,Completed,1/17/2017,,David
718,Testing,Field,Enhancement,Medium,Completed,1/18/2017,,Catherine
719,Design,Testing,Inquiry,Critical,Approved,1/19/2017,,Kevin
720,Testing,Field,Bug,Medium,Completed,1/20/2017,,Michelle
721,Documentation,Field,Enhancement,Major,pendingReview,1/21/2017,,Robert
722,Design,Coding,Inquiry,High,inProgress,1/22/2017,,Dennis
723,Coding,Testing,Bug,Low,Completed,3/2/2017,3/26/2017,William
724,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Joseph
725,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Rose
726,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Clark
727,Design,Coding,Inquiry,High,inProgress,7/1/2017,,John
728,Coding,Testing,Bug,Low,Completed,7/2/2017,7/3/2017,Linda
729,Design,Coding,Inquiry,High,inProgress,7/3/2017,,Lindsey
730,Coding,Testing,Bug,Low,Completed,7/4/2017,7/5/2017,David
731,Testing,Field,Enhancement,Medium,Completed,7/5/2017,7/6/2017,Catherine
732,Design,Testing,Inquiry,Critical,Approved,7/6/2017,7/7/2017,Smith
733,Requirements,Coding,Bug,High,inProgress,7/7/2017,,Joseph
734,Requirements,Design,Inquiry,Low,Rejected,7/8/2017,7/9/2017,Leslie
735,Testing,Field,Bug,Medium,Completed,7/9/2017,7/10/2017,John
